uvkey,aqi
"(35652084, 745706093, 0)",1.918
"(35652084, 4176140038, 0)",1.88
"(35652084, 745706128, 0)",1.893
"(2537914869, 2537914867, 0)",1.854
"(2537914871, 2537914860, 0)",1.854
"(2537914871, 581932604, 0)",1.854
"(2537914871, 703895974, 0)",1.854
"(4874863096, 265755705, 0)",1.931
"(4874863096, 265504117, 0)",1.931
"(4874863096, 76834574, 0)",1.867
"(175768057, 231146954, 0)",2.074
"(175768057, 25811053, 0)",1.957
"(175768057, 313746994, 0)",2.009
"(2537914881, 581932606, 0)",1.841
"(2537914881, 466975059, 0)",1.841
"(2537914881, 479803069, 0)",1.841
"(2537914883, 581932606, 0)",1.841
"(2537914883, 566226590, 0)",1.841
"(2537914883, 566226594, 0)",1.841
"(2537914883, 566226586, 0)",1.841
"(364806663, 365223887, 0)",1.944
"(364806663, 60706270, 0)",1.944
"(364806663, 365224699, 0)",1.931
"(2537914888, 566174822, 0)",1.841
"(2537914888, 462743782, 0)",1.841
"(2537914888, 444699527, 0)",1.841
"(364806667, 364809340, 0)",1.905
"(364806667, 60706271, 0)",1.931
"(364806667, 364809350, 0)",1.931
"(364806667, 364809694, 0)",1.893
"(364806674, 364809694, 0)",1.931
"(364806674, 364806677, 0)",1.905
"(364806674, 729628453, 0)",1.918
"(364806677, 364806674, 0)",1.905
"(364806677, 365226519, 0)",1.931
"(364806677, 321301466, 0)",1.931
"(2537914903, 479803064, 0)",1.88
"(2537914903, 479803061, 0)",1.88
"(2537914903, 2537914942, 0)",1.848
"(582877723, 279218483, 0)",1.854
"(3597206056, 2564200126, 0)",1.854
"(3597206056, 1789865305, 0)",1.854
"(3597206056, 3597206057, 0)",1.854
"(3597206057, 3597206056, 0)",1.854
"(3597206057, 559982851, 0)",1.854
"(3597206057, 559982850, 0)",1.854
"(3597206057, 3597206062, 0)",1.854
"(2537914922, 613062361, 0)",1.841
"(2537914922, 2829491816, 0)",1.828
"(2537914922, 2537914953, 0)",1.824
"(2537914923, 2537914931, 0)",1.83
"(2537914924, 613062361, 0)",1.841
"(2537914924, 2537914927, 0)",1.88
"(2537914924, 479803062, 0)",1.86
"(612827692, 283694160, 0)",1.893
"(612827692, 286379686, 0)",1.893
"(612827692, 612827705, 0)",1.931
"(3597206062, 3597206057, 0)",1.854
"(2537914927, 2537914924, 0)",1.88
"(2537914927, 466975026, 0)",1.88
"(2537914927, 613062362, 0)",1.88
"(2537914927, 2537914933, 0)",1.88
