;id_otp;name_otp;node_orig_id;node_dest_id;length;edge_class;street_class;is_stairs;is_no_thru_traffic;permission;allows_walking;allows_biking;traversable_walking;traversable_biking;bike_safety_factor;geometry
1138436;960844;bike path;249279;413228;70.404;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.18;LINESTRING (24.9729266 60.2144192, 24.972716 60.214294, 24.972437 60.21404, 24.9722909 60.2138746)
1138521;1748052;;520099;406414;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1138566;1748048;;520097;406407;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1138644;1746738;;519571;423042;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139001;802946;Elisabeth Kochin tie;318376;369492;17.829;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.6666666;LINESTRING (24.9582889 60.1990848, 24.9579684 60.1991032)
1139220;1126647;bike path;451051;451050;13.033;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.0;LINESTRING (24.9588759 60.2130396, 24.9587663 60.21314340000001)
1139236;1126646;bike path;451050;451051;13.033;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9587663 60.21314340000001, 24.9588759 60.2130396)
1139368;1746552;;519495;426731;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139497;1746384;;519429;429090;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139600;1454074;A.I. Virtasen aukio;386793;346422;49.228;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9626101 60.2056916, 24.9634447 60.2055366)
1139602;864211;underpass;386794;346387;3.747;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9625815 60.2049741, 24.9626305 60.20495080000001)
1139670;1746398;;519435;429148;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139709;1746394;;519433;429142;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139794;1517313;open area;386801;346386;33.41;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9620738 60.2046849, 24.9625051 60.20489550000001)
1139799;1746388;;519431;429097;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139813;1746430;;519447;429088;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139861;422852;Hämeentie;57871;57723;26.061;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.963526 60.20224140000001, 24.963451 60.202212, 24.96338 60.202186, 24.963247 60.202156, 24.9631189 60.2021257)
1139865;1746058;P+R Pitäjänmäen aseman liityntäpysäköinti (exit);519231;435711;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139866;1746038;P+R Pitäjänmäen aseman liityntäpysäköinti (exit);519231;435712;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139875;1746054;P+R Pitäjänmäen aseman liityntäpysäköinti (exit);519231;435709;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139877;1746056;P+R Pitäjänmäen aseman liityntäpysäköinti (exit);519231;435710;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1139903;860487;Kumpulantaival;385795;377813;54.083999999999996;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9689895 60.2119319, 24.9686059 60.2114844)
1140225;1746460;;519459;429107;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140298;875727;alley;389973;249181;62.306000000000004;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.8333332999999998;LINESTRING (24.9772341 60.2077731, 24.9767916 60.20725770000001)
1140314;1747184;;519749;420469;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140342;935594;service road;260107;80605;11.597000000000001;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.8333332999999998;LINESTRING (24.9788682 60.2131246, 24.9786771 60.2131678)
1140361;1747180;;519747;420468;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140491;1746536;;519489;428772;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140502;94893;path;57908;57588;4.083;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9653467 60.2038994, 24.9654206 60.2038998)
1140513;1746532;;519487;428782;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140534;1747296;;519795;419194;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1140577;1444875;service road;43873;492809;14.714;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.8333332999999998;LINESTRING (24.9781172 60.2195863, 24.9783585 60.21964240000001)
1140658;94891;path;57907;57906;1.399;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9652425 60.2038821, 24.9652672 60.20388490000001)
1140667;94890;path;57906;57907;1.399;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9652672 60.20388490000001, 24.9652425 60.2038821)
