;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
352619;235529;osm:node:3454325089;OsmVertex;True;True;osm:node:3454325089;False;False;24.9594228;60.1969132;POINT (24.959422800000002 60.196913200000004)
352672;446019;osm:node:2246154387:level:-1;OsmVertex;True;True;osm:node:2246154387:level:-1;False;False;24.947269700000003;60.172182799999995;POINT (24.947269700000003 60.1721828)
352696;72113;osm:node:478848169;OsmVertex;True;True;osm:node:478848169;False;False;24.9639448;60.21078590000001;POINT (24.9639448 60.210785900000005)
352699;72014;osm:node:478848173;OsmVertex;True;True;osm:node:478848173;False;False;24.9642633;60.210866300000006;POINT (24.964263300000002 60.210866300000006)
352726;72112;osm:node:478848143;OsmVertex;True;True;osm:node:478848143;False;False;24.964361399999998;60.2111925;POINT (24.9643614 60.2111925)
352792;72120;osm:node:478848101;OsmVertex;True;True;osm:node:478848101;False;False;24.9643277;60.21054470000001;POINT (24.964327700000002 60.21054470000001)
352845;72013;osm:node:478848098;OsmVertex;True;True;osm:node:478848098;False;False;24.963957200000007;60.21071379999999;POINT (24.963957200000003 60.2107138)
353086;310669;osm:node:2672186116;OsmVertex;True;True;osm:node:2672186116;False;False;24.9612332;60.1966122;POINT (24.961233200000002 60.196612200000004)
353090;459633;osm:node:2672186110;OsmVertex;True;True;osm:node:2672186110;False;False;24.961334500000003;60.1965648;POINT (24.961334500000003 60.196564800000004)
353153;123615;osm:node:475221484;OsmVertex;True;True;osm:node:475221484;False;False;24.974911;60.206931;POINT (24.974911000000002 60.206931000000004)
353342;72015;osm:node:478848178;OsmVertex;True;True;osm:node:478848178;False;False;24.9640985;60.21064930000001;POINT (24.964098500000002 60.21064930000001)
353346;72016;osm:node:478848181;OsmVertex;True;True;osm:node:478848181;False;False;24.963800199999998;60.210502399999996;POINT (24.9638002 60.2105024)
353381;184452;osm:node:281788381;OsmVertex;True;True;osm:node:281788381;False;False;24.9572432;60.21984240000001;POINT (24.9572432 60.219842400000005)
353621;140556;osm:node:4601429792;OsmVertex;True;True;osm:node:4601429792;False;False;24.9478887;60.17201290000001;POINT (24.9478887 60.172012900000006)
353639;519889;-1;ElevatorOffboardVertex;True;True;osm:node:4822605922:level:-1_offboard;False;;24.740115600000006;60.159946100000006;POINT (24.740115600000003 60.159946100000006)
353774;140577;osm:node:4601429793;OsmVertex;True;True;osm:node:4601429793;False;False;24.947606699999998;60.1717346;POINT (24.9476067 60.1717346)
353787;37971;osm:node:281788244;OsmVertex;True;True;osm:node:281788244;False;False;24.9577025;60.21977220000001;POINT (24.9577025 60.2197722)
353922;227214;osm:node:1972770020;OsmVertex;True;True;osm:node:1972770020;False;False;24.982608399999997;60.21073300000001;POINT (24.9826084 60.210733000000005)
353923;368131;osm:node:2433697493;OsmVertex;True;True;osm:node:2433697493;False;False;24.9777795;60.2138801;POINT (24.9777795 60.213880100000004)
353924;396334;osm:node:2433697490;OsmVertex;True;True;osm:node:2433697490;False;False;24.978531200000006;60.2138071;POINT (24.978531200000003 60.213807100000004)
353925;156384;osm:node:2433697496;OsmVertex;True;True;osm:node:2433697496;False;False;24.9780543;60.21403650000001;POINT (24.9780543 60.214036500000006)
353937;405187;osm:node:2433697489;OsmVertex;True;True;osm:node:2433697489;False;False;24.9782293;60.21379870000001;POINT (24.978229300000002 60.213798700000005)
353938;260168;osm:node:2433697487;OsmVertex;True;True;osm:node:2433697487;False;False;24.978784200000003;60.2137571;POINT (24.978784200000003 60.2137571)
353940;405184;osm:node:2433697481;OsmVertex;True;True;osm:node:2433697481;False;False;24.9779335;60.21355670000001;POINT (24.977933500000002 60.213556700000005)
353943;396335;osm:node:2433697480;OsmVertex;True;True;osm:node:2433697480;False;False;24.978453700000006;60.213551300000006;POINT (24.978453700000003 60.213551300000006)
353946;368130;osm:node:2433697486;OsmVertex;True;True;osm:node:2433697486;False;False;24.977639;60.213691299999994;POINT (24.977639 60.2136913)
353996;47507;osm:node:5017695831;OsmVertex;True;True;osm:node:5017695831;False;False;24.975380800000003;60.20690730000001;POINT (24.9753808 60.206907300000005)
354014;460564;osm:node:5017695838;OsmVertex;True;True;osm:node:5017695838;False;False;24.9753612;60.2072512;POINT (24.975361200000002 60.2072512)
354016;281671;osm:node:5017695835;OsmVertex;True;True;osm:node:5017695835;False;False;24.974772199999997;60.20787290000001;POINT (24.9747722 60.207872900000005)
354018;460558;osm:node:5017695839;OsmVertex;True;True;osm:node:5017695839;False;False;24.974801300000006;60.20737430000001;POINT (24.974801300000003 60.207374300000005)
354019;335816;osm:node:5017695841;OsmVertex;True;True;osm:node:5017695841;False;False;24.974643500000006;60.207900699999996;POINT (24.974643500000003 60.2079007)
