edge_id;length;gvi;aqi;noises;mdB
415;15.2367;0.3;2.02;{75: 15.23669};77.5
416;17.7961;0.2;1.86;{55: 17.79606};57.5
417;17.7961;0.2;1.86;{55: 17.79606};57.5
418;18.1287;0.2;1.86;{55: 18.12875};57.5
419;22.9666;0.22;1.86;{50: 14.35413, 55: 8.61248};54.4
420;32.0011;0.22;1.86;{50: 23.27354, 55: 8.72758};53.9
421;13.7052;0.2;1.0;{40: 5.48, 45: 8.22311};45.5
422;20.2361;0.0;1.0;{40: 20.24};42.5
423;25.4832;0.14;1.95;{65: 25.48316};67.5
424;25.4832;0.14;1.95;{65: 25.48316};67.5
425;4.6345;0.24;1.98;{65: 4.63446};67.5
426;4.6345;0.24;1.98;{65: 4.63446};67.5
427;96.6322;0.62;1.88;{65: 96.63215};67.5
428;50.1723;0.55;1.87;{55: 41.31836, 60: 8.85393};58.4
429;43.3732;0.21;1.88;{70: 43.37322};72.5
430;43.3732;0.21;1.88;{70: 43.37322};72.5
431;39.5261;0.24;1.94;{70: 27.3642, 75: 12.16186};74.0
432;21.6437;0.13;1.85;{55: 21.6437};57.5
433;20.1649;0.27;1.9;{70: 17.28424, 65: 2.88071};71.8
434;3.0004;0.35;1.89;{65: 3.0004};67.5
435;123.1066;0.25;1.95;{70: 123.10658};72.5
436;3.8155;0.25;1.85;{50: 3.81549};52.5
437;35.4014;0.43;1.85;{60: 20.65082, 55: 14.75059};60.4
438;6.6669;0.32;1.91;{70: 6.66686};72.5
439;6.6669;0.32;1.91;{70: 6.66686};72.5
440;10.7027;0.17;1.91;{60: 10.70271};62.5
441;47.6889;0.42;1.85;{45: 47.68887};47.5
442;77.8293;0.5;1.85;{50: 77.82934};52.5
443;20.1649;0.27;1.9;{70: 17.28424, 65: 2.88071};71.8
444;46.1626;0.26;1.92;{75: 24.62004, 70: 21.54253};75.2
445;46.1626;0.26;1.92;{75: 24.62004, 70: 21.54253};75.2
446;45.494;0.33;1.91;{65: 24.26344, 70: 21.23051};69.8
447;9.7239;0.09;1.88;{55: 9.72385};57.5
448;45.494;0.33;1.91;{65: 24.26344, 70: 21.23051};69.8
449;4.02;0.38;1.87;{60: 4.01998};62.5
450;7.2284;0.31;1.9;{65: 7.2284};67.5
451;7.2102;0.16;1.93;{65: 3.60511, 70: 3.60511};70.0
452;43.2339;0.16;1.87;{65: 43.23388};67.5
453;29.5601;0.31;1.9;{60: 17.73606, 65: 11.82404};64.5
454;7.2284;0.31;1.9;{65: 7.2284};67.5
455;12.497;0.19;1.97;{75: 12.497};77.5
456;52.5692;0.12;1.9;{70: 49.6487, 65: 2.92051};72.2
